# Variance report for acetime.acetz.acetz compared to Python 3.9
# zoneinfo.ZoneInfo.
#
# Context
# -------
# AceTimePython Version: 0.5.6
# AceTimePython ZoneDB Version: 2022g
# AceTimePython ZoneDB Start Year: 1900
# AceTimePython ZoneDB Until Year: 10000
# ZoneInfo Version: Python 3.9 2021e
# Report Start Year: 1950
# Report Until Year: 2100
#
# Report Format
# -------------
# Zone {zone_name}
# {seconds}: {date}: {label}: acetz {value}; zoneinfo {value}
# [...]

Zone Africa/Casablanca
2781136740: 2058-02-17 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2781136800: 2058-02-17 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2784765540: 2058-03-31 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2784765600: 2058-03-31 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2811981540: 2059-02-09 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2811981600: 2059-02-09 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2815610340: 2059-03-23 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2815610400: 2059-03-23 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2842826340: 2060-02-01 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2842826400: 2060-02-01 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2845850340: 2060-03-07 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2845850400: 2060-03-07 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2873066340: 2061-01-16 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2873066400: 2061-01-16 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2876695140: 2061-02-27 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2876695200: 2061-02-27 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2903911140: 2062-01-08 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2903911200: 2062-01-08 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2907539940: 2062-02-19 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2907540000: 2062-02-19 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2934755940: 2062-12-31 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2934756000: 2062-12-31 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2937779940: 2063-02-04 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2937780000: 2063-02-04 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2964995940: 2063-12-16 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2964996000: 2063-12-16 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2968624740: 2064-01-27 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2968624800: 2064-01-27 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2995840740: 2064-12-07 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2995840800: 2064-12-07 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2998864740: 2065-01-11 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2998864800: 2065-01-11 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3026080740: 2065-11-22 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3026080800: 2065-11-22 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3029709540: 2066-01-03 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
